cultivar,orchard_id,year,technology,interval_months,day_offset,replicate_id,marketable_pct,marketable
Honeycrisp,HC_O1,2023,CA,6,7,3,100.0,1.0
Honeycrisp,HC_O1,2023,CA,9,1,1,100.0,1.0
Honeycrisp,HC_O1,2023,CA,9,1,2,100.0,1.0
Honeycrisp,HC_O1,2023,CA,9,1,3,100.0,1.0
Honeycrisp,HC_O1,2023,CA,9,7,1,100.0,1.0
Honeycrisp,HC_O1,2023,CA,9,7,2,100.0,1.0
Honeycrisp,HC_O1,2023,CA,9,7,3,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,3,1,1,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,3,1,2,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,3,1,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O1,2023,DCA,3,7,1,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,3,7,2,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,3,7,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O1,2023,DCA,6,1,1,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,6,1,2,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,6,1,3,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,6,7,1,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,6,7,2,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O1,2023,DCA,6,7,3,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,9,1,1,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,9,1,2,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,9,1,3,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,9,7,1,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O1,2023,DCA,9,7,2,100.0,1.0
Honeycrisp,HC_O1,2023,DCA,9,7,3,100.0,1.0
Honeycrisp,HC_O1,2024,RA,3,1,1,100.0,1.0
Honeycrisp,HC_O1,2024,RA,3,1,2,100.0,1.0
Honeycrisp,HC_O1,2024,RA,3,1,3,100.0,1.0
Honeycrisp,HC_O1,2024,RA,3,7,1,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O1,2024,RA,3,7,2,100.0,1.0
Honeycrisp,HC_O1,2024,RA,3,7,3,100.0,1.0
Honeycrisp,HC_O1,2024,RA,6,1,1,76.66666666666666,0.7666666666666666
Honeycrisp,HC_O1,2024,RA,6,1,2,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O1,2024,RA,6,1,3,88.33333333333333,0.8833333333333333
Honeycrisp,HC_O1,2024,RA,6,7,1,76.66666666666666,0.7666666666666666
Honeycrisp,HC_O1,2024,RA,6,7,2,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O1,2024,RA,6,7,3,88.33333333333333,0.8833333333333333
Honeycrisp,HC_O1,2024,RA,9,1,1,44.99999999999999,0.44999999999999996
Honeycrisp,HC_O1,2024,RA,9,1,2,65.0,0.65
Honeycrisp,HC_O1,2024,RA,9,1,3,41.666666666666664,0.41666666666666663
Honeycrisp,HC_O1,2024,RA,9,7,1,44.99999999999999,0.44999999999999996
Honeycrisp,HC_O1,2024,RA,9,7,2,65.0,0.65
Honeycrisp,HC_O1,2024,RA,9,7,3,41.666666666666664,0.41666666666666663
Honeycrisp,HC_O1,2024,CA,3,1,1,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O1,2024,CA,3,1,2,100.0,1.0
Honeycrisp,HC_O1,2024,CA,3,1,3,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O1,2024,CA,3,7,1,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O1,2024,CA,3,7,2,100.0,1.0
Honeycrisp,HC_O1,2024,CA,3,7,3,95.0,0.95
Honeycrisp,HC_O1,2024,CA,6,1,1,95.0,0.95
Honeycrisp,HC_O1,2024,CA,6,1,2,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O1,2024,CA,6,1,3,90.0,0.9
Honeycrisp,HC_O1,2024,CA,6,7,1,95.0,0.95
Honeycrisp,HC_O1,2024,CA,6,7,2,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O1,2024,CA,6,7,3,90.0,0.9
Honeycrisp,HC_O1,2024,CA,9,1,1,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O1,2024,CA,9,1,2,100.0,1.0
Honeycrisp,HC_O1,2024,CA,9,1,3,100.0,1.0
Honeycrisp,HC_O1,2024,CA,9,7,1,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O1,2024,CA,9,7,2,100.0,1.0
Honeycrisp,HC_O1,2024,CA,9,7,3,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,3,1,1,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,3,1,2,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,3,1,3,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,3,7,1,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,3,7,2,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,3,7,3,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,6,1,1,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,6,1,2,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,6,1,3,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,6,7,1,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,6,7,2,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,6,7,3,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,9,1,1,96.875,0.96875
Honeycrisp,HC_O1,2024,DCA,9,1,2,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,9,1,3,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,9,7,1,96.875,0.96875
Honeycrisp,HC_O1,2024,DCA,9,7,2,100.0,1.0
Honeycrisp,HC_O1,2024,DCA,9,7,3,100.0,1.0
Honeycrisp,HC_O2,2022,RA,3,1,1,71.66666666666667,0.7166666666666667
Honeycrisp,HC_O2,2022,RA,3,1,2,73.33333333333334,0.7333333333333334
Honeycrisp,HC_O2,2022,RA,3,1,3,81.66666666666667,0.8166666666666668
Honeycrisp,HC_O2,2022,RA,3,7,1,70.37037037037037,0.7037037037037037
Honeycrisp,HC_O2,2022,RA,3,7,2,68.5185185185185,0.685185185185185
Honeycrisp,HC_O2,2022,RA,3,7,3,72.22222222222221,0.7222222222222221
Honeycrisp,HC_O2,2022,RA,6,1,1,29.629629629629626,0.2962962962962963
Honeycrisp,HC_O2,2022,RA,6,1,2,100.0,1.0
Honeycrisp,HC_O2,2022,RA,6,1,3,100.0,1.0
Honeycrisp,HC_O2,2022,RA,6,7,1,68.75,0.6875
Honeycrisp,HC_O2,2022,RA,6,7,2,70.83333333333334,0.7083333333333335
Honeycrisp,HC_O2,2022,RA,6,7,3,81.25,0.8125
Honeycrisp,HC_O2,2022,RA,9,1,1,86.20689655172413,0.8620689655172413
Honeycrisp,HC_O2,2022,RA,9,1,2,78.57142857142857,0.7857142857142857
Honeycrisp,HC_O2,2022,RA,9,1,3,82.14285714285714,0.8214285714285714
Honeycrisp,HC_O2,2022,RA,9,7,1,62.962962962962955,0.6296296296296295
Honeycrisp,HC_O2,2022,RA,9,7,2,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O2,2022,RA,9,7,3,72.22222222222223,0.7222222222222223
Honeycrisp,HC_O2,2022,CA,3,1,1,83.3333333,0.8333333330000001
Honeycrisp,HC_O2,2022,CA,3,1,2,83.3333333,0.8333333330000001
Honeycrisp,HC_O2,2022,CA,3,1,3,95.0,0.95
Honeycrisp,HC_O2,2022,CA,3,7,1,77.7777778,0.7777777779999999
Honeycrisp,HC_O2,2022,CA,3,7,2,81.4814815,0.814814815
Honeycrisp,HC_O2,2022,CA,3,7,3,75.9259259,0.7592592589999999
Honeycrisp,HC_O2,2022,CA,6,1,1,61.1111111,0.611111111
Honeycrisp,HC_O2,2022,CA,6,1,2,100.0,1.0
Honeycrisp,HC_O2,2022,CA,6,1,3,96.2264151,0.962264151
Honeycrisp,HC_O2,2022,CA,6,7,1,90.0,0.9
Honeycrisp,HC_O2,2022,CA,6,7,2,97.9166667,0.9791666669999999
Honeycrisp,HC_O2,2022,CA,6,7,3,89.3617021,0.8936170210000001
Honeycrisp,HC_O2,2022,CA,9,1,1,90.7407407,0.907407407
Honeycrisp,HC_O2,2022,CA,9,1,2,88.8888889,0.888888889
Honeycrisp,HC_O2,2022,CA,9,1,3,92.5925926,0.925925926
Honeycrisp,HC_O2,2022,CA,9,7,1,87.037037,0.87037037
Honeycrisp,HC_O2,2022,CA,9,7,2,87.037037,0.87037037
Honeycrisp,HC_O2,2022,CA,9,7,3,90.7407407,0.907407407
Honeycrisp,HC_O2,2022,DCA,3,1,1,85.29411764705883,0.8529411764705883
Honeycrisp,HC_O2,2022,DCA,3,1,2,90.9090909090909,0.9090909090909091
Honeycrisp,HC_O2,2022,DCA,3,1,3,78.78787878787878,0.7878787878787878
Honeycrisp,HC_O2,2022,DCA,3,7,1,78.57142857142858,0.7857142857142858
Honeycrisp,HC_O2,2022,DCA,3,7,2,74.07407407407408,0.7407407407407408
Honeycrisp,HC_O2,2022,DCA,3,7,3,70.37037037037037,0.7037037037037037
Honeycrisp,HC_O2,2022,DCA,6,1,1,38.46153846153846,0.3846153846153846
Honeycrisp,HC_O2,2022,DCA,6,1,2,100.0,1.0
Honeycrisp,HC_O2,2022,DCA,6,1,3,100.0,1.0
Honeycrisp,HC_O2,2022,DCA,6,7,1,80.0,0.8
Honeycrisp,HC_O2,2022,DCA,6,7,2,57.14285714285714,0.5714285714285714
Honeycrisp,HC_O2,2022,DCA,6,7,3,65.0,0.65
Honeycrisp,HC_O2,2022,DCA,9,1,1,86.20689655172413,0.8620689655172413
Honeycrisp,HC_O2,2022,DCA,9,1,2,78.57142857142857,0.7857142857142857
Honeycrisp,HC_O2,2022,DCA,9,1,3,82.14285714285714,0.8214285714285714
Honeycrisp,HC_O2,2022,DCA,9,7,1,100.0,1.0
Honeycrisp,HC_O2,2022,DCA,9,7,2,100.0,1.0
Honeycrisp,HC_O2,2022,DCA,9,7,3,96.4285714285714,0.964285714285714
Honeycrisp,HC_O2,2023,RA,3,1,1,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,RA,3,1,2,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,RA,3,1,3,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,RA,3,7,1,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,RA,3,7,2,95.0,0.95
Honeycrisp,HC_O2,2023,RA,3,7,3,95.0,0.95
Honeycrisp,HC_O2,2023,RA,6,1,1,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,RA,6,1,2,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,RA,6,1,3,88.33333333333333,0.8833333333333333
Honeycrisp,HC_O2,2023,RA,6,7,1,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,RA,6,7,2,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O2,2023,RA,6,7,3,88.33333333333333,0.8833333333333333
Honeycrisp,HC_O2,2023,RA,9,1,1,100.0,1.0
Honeycrisp,HC_O2,2023,RA,9,1,2,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,RA,9,1,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,RA,9,7,1,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,RA,9,7,2,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,RA,9,7,3,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,CA,3,1,1,100.0,1.0
Honeycrisp,HC_O2,2023,CA,3,1,2,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,3,1,3,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O2,2023,CA,3,7,1,100.0,1.0
Honeycrisp,HC_O2,2023,CA,3,7,2,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,CA,3,7,3,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,CA,6,1,1,95.0,0.95
Honeycrisp,HC_O2,2023,CA,6,1,2,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,CA,6,1,3,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,6,7,1,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O2,2023,CA,6,7,2,100.0,1.0
Honeycrisp,HC_O2,2023,CA,6,7,3,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,9,1,1,88.88888888888889,0.8888888888888888
Honeycrisp,HC_O2,2023,CA,9,1,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,CA,9,1,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,CA,9,7,1,88.88888888888889,0.8888888888888888
Honeycrisp,HC_O2,2023,CA,9,7,2,83.33333333333333,0.8333333333333333
Honeycrisp,HC_O2,2023,CA,9,7,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,3,1,1,83.33333333333333,0.8333333333333333
Honeycrisp,HC_O2,2023,DCA,3,1,2,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,DCA,3,1,3,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,DCA,3,7,1,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,3,7,2,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,3,7,3,88.88888888888889,0.8888888888888888
Honeycrisp,HC_O2,2023,DCA,6,1,1,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,DCA,6,1,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,6,1,3,100.0,1.0
Honeycrisp,HC_O2,2023,DCA,6,7,1,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O2,2023,DCA,6,7,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,6,7,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,9,1,1,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,DCA,9,1,2,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,DCA,9,1,3,100.0,1.0
Honeycrisp,HC_O2,2023,DCA,9,7,1,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,9,7,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,9,7,3,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2024,RA,3,1,1,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,RA,3,1,2,85.0,0.85
Honeycrisp,HC_O2,2024,RA,3,1,3,68.33333333333333,0.6833333333333332
Honeycrisp,HC_O2,2024,RA,3,7,1,86.66666666666667,0.8666666666666667
Honeycrisp,HC_O2,2024,RA,3,7,2,76.66666666666666,0.7666666666666666
Honeycrisp,HC_O2,2024,RA,3,7,3,66.66666666666667,0.6666666666666667
Honeycrisp,HC_O2,2024,RA,6,1,1,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O2,2024,RA,6,1,2,40.0,0.4
Honeycrisp,HC_O2,2024,RA,6,1,3,66.66666666666666,0.6666666666666665
Honeycrisp,HC_O2,2024,RA,6,7,1,83.33333333333334,0.8333333333333335
