cultivar,orchard_id,year,month,Pr[DCA>CA],Pr[DCA>RA],DCA-CA_mean,DCA-CA_p10,DCA-CA_median,DCA-CA_p90,DCA-RA_mean,DCA-RA_p10,DCA-RA_median,DCA-RA_p90,p_star,adoption_index,cvar10,omega,G_pos_mean,L_neg_mean
Honeycrisp,HC_O2,2022,December,0.3644,0.7926,-87206.09584986808,-422591.4155375622,-90500.20593465515,254021.2902508633,174570.9387955907,-114508.51293249808,185994.51847985096,446042.3621335134,0.5655843133893487,-0.20118431338934867,-553863.8357167144,0.44035468696335023,188303.42866711997,245160.26629352837
Honeycrisp,HC_O2,2022,January,0.366,0.7847,-90191.79100528448,-441649.5552226527,-91692.24518276565,265607.81452725513,174889.2625253397,-123721.21283651164,185300.8699754665,458109.1757419776,0.5679756818916569,-0.20197568189165693,-574995.6222389028,0.4391069179530343,192919.49725378182,253628.27602550262
Honeycrisp,HC_O2,2022,February,0.3742,0.783,-85001.99431740554,-438698.97192492365,-89510.09003694553,278972.18740136013,178528.22573090458,-127393.77319994693,191380.17141142662,463442.03994563164,0.561664514716511,-0.18746451471651104,-568968.9164089141,0.466657089472298,198754.36418209065,254675.41929425352
Honeycrisp,HC_O2,2022,March,0.4667,0.4382,-240000.81079922896,-1657195.8157967036,-2758.833480705507,647769.2911275355,-19167.985637528294,-1553156.6610541837,-6685.202726899181,1483925.3057173598,0.6704996149452336,-0.20379961494523358,-2242023.2535480717,0.43005461335921963,388029.9753905478,789601.3506731625
Honeycrisp,HC_O2,2022,April,0.463,0.446,-236937.98726781103,-1610407.9015938598,-2982.3888214374892,617434.7113766713,8010.763790999219,-1476442.9244789951,-6511.441980046686,1548459.9213467406,0.6705790308869198,-0.2075790308869198,-2168710.2833955605,0.423553209482292,376012.64950497117,765422.4282841949
Honeycrisp,HC_O2,2022,May,0.4591,0.4414,-252074.29939405326,-1725625.0178885227,-3222.9010373316705,659097.6609957982,-18705.29926294727,-1577580.4979517288,-6504.603840254247,1514038.629959302,0.668653051489698,-0.209553051489698,-2267619.104854297,0.42060308694315346,398581.88324305107,804332.1168255465
Honeycrisp,HC_O2,2022,June,0.7715,0.8621,68874.87983499281,-497840.5499151228,235787.6644744391,351025.3462164276,413310.71730249416,-186991.4279443448,508236.08330007154,859580.7909224522,0.6879210744395403,0.08357892556045965,-1033216.0431143777,1.5317064946836128,257174.86020398303,566895.0757653397
Honeycrisp,HC_O2,2022,July,0.7678,0.8654,74956.60880397093,-492662.2107285773,245563.27295005624,363054.7771074759,430885.09595222585,-166999.6586497105,526851.7587575698,895473.009838369,0.6770755287033728,0.0907244712966272,-1029396.6701788361,1.5770655031602376,266800.37835734733,559400.1795813969
Honeycrisp,HC_O2,2022,August,0.759,0.8611,58379.87657907698,-487458.03730362764,221061.6533765893,334498.75872508564,388897.30549153034,-186708.49600610547,484425.2906218469,818208.8320983046,0.6834025221528093,0.07559747784719073,-989525.431460247,1.4590010579791186,244491.24770176306,527755.1055044032
Honeycrisp,HC_O2,2023,September,0.0265,0.0,-2216.8545354637067,-3746.864894596301,-2222.4033505576663,-676.6358991975427,-6510.747887264065,-7825.303192659374,-6510.371561014326,-5175.672184667876,0.8749922808251285,-0.8484922808251285,-4243.048999887315,0.003889041053972669,326.6074842204744,2286.091046528556
