cultivar,orchard_id,year,technology,interval_months,n_reps,sample_mean,sample_sd,alpha_mom,beta_mom,ll_mom,aic_mom,ks_p_mom,alpha_mle,beta_mle,ll_mle,aic_mle,ks_p_mle,chosen_method,alpha,beta,ks_p_chosen
Gala,GA_O1,2022,CA,3,6,0.9913575246913581,0.00949038260465142,93.3129041944479,0.8134849944567287,26.47209813131549,-48.94419626263098,0.06609259612153762,20.902005707960374,0.17868254198664169,36.37993305999636,-68.75986611999272,0.3609187092904984,MLE,20.902005707960374,0.17868254198664169,0.32
Gala,GA_O1,2022,CA,6,6,0.9791660000000001,0.03486035634802242,19.58332,0.41667999999999816,36.00083837160014,-68.00167674320028,0.004846217358735433,6.211304343560395,0.12499448599682884,41.83352893134244,-79.66705786268489,0.1568208019253523,MLE,6.211304343560395,0.12499448599682884,0.11
Gala,GA_O1,2022,CA,9,6,0.7513176938775509,0.26342035945896275,15.026353877551017,4.973646122448983,-95.03790661902462,194.07581323804925,0.06589587615300274,0.797228807723247,0.1712506144607173,16.995896228687453,-29.991792457374906,0.44466084026165265,MLE,0.797228807723247,0.1712506144607173,0.42
Gala,GA_O1,2022,DCA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2022,DCA,6,6,0.9523802857142857,0.0865038554462712,19.047605714285712,0.9523942857142864,13.796308098367241,-23.592616196734483,0.0037748527594425076,2.5926310257025738,0.11488754615956276,39.99726933805464,-75.99453867610929,0.15913470007595,MLE,2.5926310257025738,0.11488754615956276,0.12
Gala,GA_O1,2022,DCA,9,6,0.803921068627451,0.262188016393433,16.07842137254902,3.921578627450979,-98.48856932876973,200.97713865753946,0.06558641975308642,0.7789337022017366,0.1276495637249015,26.84007203005875,-49.6801440601175,0.41065903970342466,MLE,0.7789337022017366,0.1276495637249015,0.34
Gala,GA_O1,2022,RA,3,6,0.9941351358024691,0.009103115044484652,68.95280880263778,0.4067845960794337,40.81015260551261,-77.62030521102523,0.005975641774992214,24.54177621105966,0.1427024277999558,44.91335035477015,-85.8267007095403,0.15547674080760732,MLE,24.54177621105966,0.1427024277999558,0.13
Gala,GA_O1,2022,RA,6,6,0.9895826666666666,0.017429939129108934,32.58951173511185,0.34306967810865757,40.34290188411476,-76.68580376822952,0.007168891879502947,13.05576064200443,0.13390520380980908,43.55467150726773,-83.10934301453545,0.15705704223222694,MLE,13.05576064200443,0.13390520380980908,0.1
Gala,GA_O1,2022,RA,9,6,0.6006939444444445,0.4470998184807115,12.01387888888889,7.98612111111111,-275.0738164720654,554.1476329441308,0.06558641975308642,0.32275451562279445,0.11177056014842415,26.498712851887966,-48.99742570377593,0.4208672921305051,MLE,0.32275451562279445,0.11177056014842415,0.45
Gala,GA_O1,2023,CA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2023,CA,6,6,0.9888883888888889,0.013607786453051489,57.691991610827365,0.648254122717815,28.62050609420439,-53.24101218840878,0.06738219754495178,15.790433418037018,0.17309829657218,35.63521825258557,-67.27043650517113,0.3955877808924978,MLE,15.790433418037018,0.17309829657218,0.39
Gala,GA_O1,2023,CA,9,6,0.9222217222222223,0.09289529749452495,18.444434444444447,1.5555655555555536,-7.09551465749815,18.1910293149963,0.06558644842085459,2.0683552765888726,0.14391062492395554,29.05052822593929,-54.10105645187858,0.3920582142447314,MLE,2.0683552765888726,0.14391062492395554,0.36
Gala,GA_O1,2023,DCA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2023,DCA,6,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2023,DCA,9,6,0.9684678018018018,0.04958997401235156,19.369356036036038,0.6306439639639638,27.56810840960171,-51.13621681920342,0.003866221638271744,4.049861437159616,0.12045755516998954,40.745583326765356,-77.49116665353071,0.15534690770443316,MLE,4.049861437159616,0.12045755516998954,0.14
Gala,GA_O1,2023,RA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2023,RA,6,6,0.9944436111111111,0.013607868100504955,28.679329790408335,0.16024388673999906,52.58951573735692,-101.17903147471384,0.0074243965425496465,20.8770770495839,0.11550181499470367,52.91121653717498,-101.82243307434996,0.04306615009820564,MLE,20.8770770495839,0.11550181499470367,0.05
Gala,GA_O1,2023,RA,9,6,0.9499995,0.06324507886231148,18.99999,1.00001,11.921197041237047,-19.842394082474094,0.06560345486974195,3.2033214622732635,0.1492880685730556,30.59992464139786,-57.19984928279572,0.39617596426002477,MLE,3.2033214622732635,0.1492880685730556,0.39
Gala,GA_O1,2024,CA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2024,CA,6,6,0.8444439444444445,0.17341824416049023,16.88887888888889,3.1111211111111103,-63.71494365226246,131.42988730452493,0.06558641975308699,1.0588028418422815,0.13480481028505678,26.891655928722408,-49.783311857444815,0.38426645456183306,MLE,1.0588028418422815,0.13480481028505678,0.38
Gala,GA_O1,2024,CA,9,6,0.7083333333333334,0.27381055900425433,14.166666666666668,5.833333333333332,-17.894892084341407,39.789784168682814,0.06697538754657484,1.8082850073086683,0.6928769631853808,2.088660118879534,-0.17732023775906836,0.5890414213083246,MLE,1.8082850073086683,0.6928769631853808,0.61
Gala,GA_O1,2024,DCA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2024,DCA,6,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2024,DCA,9,6,0.9772722272727273,0.024895932164040915,34.04394266572588,0.7917374197834341,21.73397813075432,-39.46795626150864,0.06586611884267879,7.3841127622795915,0.16228488133691438,33.0192925163219,-62.038585032643795,0.3370674062957403,MLE,7.3841127622795915,0.16228488133691438,0.33
Gala,GA_O1,2024,RA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Gala,GA_O1,2024,RA,6,6,0.9027772777777777,0.11757532652605052,18.055545555555554,1.9444544444444456,-20.973670866934214,45.94734173386843,0.06558642004941428,1.6533507303596096,0.14074779304304033,28.359825535417666,-52.71965107083533,0.39268447602563195,MLE,1.6533507303596096,0.14074779304304033,0.33
Gala,GA_O1,2024,RA,9,6,0.5805555555555556,0.3099133690183376,11.611111111111112,8.388888888888888,-14.635068326563939,33.27013665312788,0.06978849404373144,1.6387085509006096,1.1867966000379522,0.40929687750239907,3.181406244995202,0.5363173600005795,MLE,1.6387085509006096,1.1867966000379522,0.49
Honeycrisp,HC_O1,2022,CA,3,6,0.876851851851852,0.043662095698935956,48.7905197943942,6.8523116501102646,10.31200840422025,-16.6240168084405,0.5765857002992603,45.9754815718209,6.439398671634107,10.318299296695429,-16.636598593390858,0.57171032194998,MLE,45.9754815718209,6.439398671634107,0.58
Honeycrisp,HC_O1,2022,CA,6,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Honeycrisp,HC_O1,2022,CA,9,6,0.963635696969697,0.05749545149327401,19.272713939393938,0.7272860606060605,23.566161487950485,-43.13232297590097,0.0038042895829972384,3.4945196870185105,0.11881384485126094,40.4116312796261,-76.8232625592522,0.1554372027398614,MLE,3.4945196870185105,0.11881384485126094,0.14
Honeycrisp,HC_O1,2022,DCA,3,6,0.5905448717948718,0.22171055904514442,11.810897435897436,8.189102564102564,-3.082781554815881,10.165563109631762,0.4703125895039968,3.221343598352806,2.237424167915659,1.5541595131294166,0.8916809737411668,0.9399390156513213,MLE,3.221343598352806,2.237424167915659,0.92
Honeycrisp,HC_O1,2022,DCA,6,6,0.7603455133622589,0.2000322498002399,15.206910267245178,4.793089732754822,-82.2149988481078,168.4299976962156,0.42343964334705064,0.9129851262139874,0.18435539895803735,15.829799885611665,-27.65959977122333,0.15532626737696897,MLE,0.9129851262139874,0.18435539895803735,0.15
Honeycrisp,HC_O1,2022,DCA,9,6,0.5874384236453202,0.25071423610959387,11.748768472906404,8.251231527093596,-6.135160517082085,16.27032103416417,0.14411472190211572,2.526258206191557,1.8109964672304713,1.0587439972005708,1.8825120055988585,0.7811776371137696,MLE,2.526258206191557,1.8109964672304713,0.85
Honeycrisp,HC_O1,2022,RA,3,6,0.9702103367760683,0.0298292727735704,30.54440837702718,0.937845747912179,16.08942281451407,-28.17884562902814,0.42364977256226954,7.622999667349535,0.22198055606368333,24.498678482034276,-44.99735696406855,0.3573155897411697,MLE,7.622999667349535,0.22198055606368333,0.29
Honeycrisp,HC_O1,2022,RA,6,6,0.9193093475,0.10253903780782551,18.386186950000003,1.6138130499999992,2.106971436841363,-0.21394287368272558,0.03558268589002518,3.655295628683197,0.2981870829437088,14.179701998470886,-24.359403996941772,0.49192930307432003,MLE,3.655295628683197,0.2981870829437088,0.4
Honeycrisp,HC_O1,2022,RA,9,6,0.9197527530864198,0.09122410839135912,18.395055061728396,1.6049449382716041,-2.9396803555324524,9.879360711064905,0.23472214407687098,2.5955272714826916,0.19590868581100138,20.89916360805838,-37.79832721611676,0.6492365165533742,MLE,2.5955272714826916,0.19590868581100138,0.6
Honeycrisp,HC_O1,2023,CA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Honeycrisp,HC_O1,2023,CA,6,6,0.9972213888888888,0.0068037299261072635,58.694871463785304,0.16354464899337437,53.80399609630205,-103.6079921926041,0.01034471416939355,44.999994982617835,0.12486996500937571,54.016855164805165,-104.03371032961033,0.04304381037017466,MLE,44.999994982617835,0.12486996500937571,0.02
Honeycrisp,HC_O1,2023,CA,9,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Honeycrisp,HC_O1,2023,DCA,3,6,0.9814808148148148,0.02868824912968285,20.694433059394452,0.39047532294521303,37.09111105006017,-70.18222210012034,0.005286568474442964,7.081692347926446,0.12684622491496148,42.02231916906162,-80.04463833812324,0.1551614278790252,MLE,7.081692347926446,0.12684622491496148,0.11
Honeycrisp,HC_O1,2023,DCA,6,6,0.9907399074074074,0.022680052333035258,19.814798148148146,0.18520185185185278,51.22729014407776,-98.45458028815553,0.0023823421406005446,11.92346047061175,0.10942345524473229,52.11861482628254,-100.23722965256508,0.04308117030600152,MLE,11.92346047061175,0.10942345524473229,0.04
Honeycrisp,HC_O1,2023,DCA,9,6,0.9907399074074074,0.022680052333035258,19.814798148148146,0.18520185185185278,51.22729014407776,-98.45458028815553,0.0023823421406005446,11.92346047061175,0.10942345524473229,52.11861482628254,-100.23722965256508,0.04308117030600152,MLE,11.92346047061175,0.10942345524473229,0.04
Honeycrisp,HC_O1,2023,RA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Honeycrisp,HC_O1,2023,RA,6,6,0.9972213888888889,0.006803729926107263,58.69487146378295,0.16354464899336124,53.80399609630217,-103.60799219260434,0.010344714169398387,44.99999498260616,0.12486996500937163,54.016855164805264,-104.03371032961053,0.04304381037017587,MLE,44.99999498260616,0.12486996500937163,0.02
Honeycrisp,HC_O1,2023,RA,9,6,0.9953695370370369,0.011339822042372437,34.68099779272154,0.16133613680385994,52.90408399306933,-101.80816798613866,0.008016196825300224,25.52926663333524,0.11782895926982509,53.19863752217729,-102.39727504435459,0.04306050441154386,MLE,25.52926663333524,0.11782895926982509,0.05
Honeycrisp,HC_O1,2024,CA,3,6,0.9722218888888889,0.027216144451137566,34.474844403569854,0.9850077120512908,15.756651293120228,-27.513302586240457,0.42358202926716415,8.224444040325315,0.22361574691979402,24.79191248045142,-45.58382496090284,0.37586717485645893,MLE,8.224444040325315,0.22361574691979402,0.29
Honeycrisp,HC_O1,2024,CA,6,6,0.9333333333333335,0.027888667551135834,73.73333333333332,5.266666666666655,13.714946843547978,-23.429893687095955,0.901977133835237,88.17279607849859,6.297559627512457,13.762693354722643,-23.525386709445286,0.8498790926277023,MLE,88.17279607849859,6.297559627512457,0.88
Honeycrisp,HC_O1,2024,CA,9,6,0.9888882222222222,0.0172127429186979,35.686759410307516,0.4009991536609161,38.640599834411354,-73.28119966882271,0.005488446685803319,12.235487043409556,0.13345723545203478,43.29205336177728,-82.58410672355456,0.15528517591722446,MLE,12.235487043409556,0.13345723545203478,0.12
Honeycrisp,HC_O1,2024,DCA,3,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Honeycrisp,HC_O1,2024,DCA,6,6,0.999999,0.0,19.99998,0.001,41.38480626363635,-78.7696125272727,2.2736671102651247e-12,1468.5698197431084,0.1608889093908307,66.06292508434896,-128.12585016869792,0.008809802398322221,MLE,1468.5698197431084,0.1608889093908307,0.0
Honeycrisp,HC_O1,2024,DCA,9,6,0.9895826666666666,0.016136914211418062,38.18638566294163,0.4019879507247696,38.84797658175663,-73.69595316351327,0.005523620388312245,13.119497455377484,0.13433832717910837,43.45408336199395,-82.9081667239879,0.15530080915157485,MLE,13.119497455377484,0.13433832717910837,0.16
Honeycrisp,HC_O1,2024,RA,3,6,0.9972213888888889,0.006803729926107263,58.69487146378295,0.16354464899336124,53.80399609630217,-103.60799219260434,0.010344714169398387,44.99999498260616,0.12486996500937163,54.016855164805264,-104.03371032961053,0.04304381037017587,MLE,44.99999498260616,0.12486996500937163,0.02
